Source,Target,Type
Global_Risks_Report,Cyberattack,Directed
Dictionary_attack,Cipher,Directed
Dictionary_attack,Passphrase,Directed
Dictionary_attack,Cryptographic_hash_function,Directed
Dictionary_attack,Salt_(cryptography),Directed
Electric_power_transmission,Electrical_substation,Directed
Electric_power_transmission,Electric_power_distribution,Directed
Accumulation_by_dispossession,Privatization,Directed
Password,User_(computing),Directed
Password,Memorized,Directed
Password,Character_(computing),Directed
Password,Passphrase,Directed
Password,Polybius,Directed
Password,Military_of_ancient_Rome,Directed
Password,Maniple_(military_unit),Directed
Password,Tribune,Directed
Password,Invasion_of_Normandy,Directed
Password,101st_Airborne_Division,Directed
Password,D-Day,Directed
Password,Compatible_Time-Sharing_System,Directed
Password,MIT,Directed
Password,Robert_Morris_(cryptographer),Directed
Password,Unix,Directed
Password,Crypt_(Unix),Directed
Password,Salt_(cryptography),Directed
Password,Dictionary_attack,Directed
Password,Access_control,Directed
Password,Operating_system,Directed
Lock_picking,Lock_(security_device),Directed
Lock_picking,MIT,Directed
Lock_picking,Warded_lock,Directed
Lock_picking,Keyhole,Directed
Lock_picking,Pin_tumbler_lock,Directed
Zero-day_(computing),Threat_actor,Directed
Zero-day_(computing),Software,Directed
Zero-day_(computing),Software_bug,Directed
Zero-day_(computing),Hardware_bug,Directed
Zero-day_(computing),Code_injection,Directed
Zero-day_(computing),Software_patch,Directed
Zero-day_(computing),Malware,Directed
Zero-day_(computing),Access_control,Directed
NearLink,Wireless,Directed
NearLink,Bluetooth,Directed
NearLink,Wi-Fi,Directed
Romanization_of_Ancient_Greek,Modern_Greek,Directed
Romanization_of_Ancient_Greek,Latin,Directed
Radiant_energy,Energy,Directed
Radiant_energy,Time,Directed
Red_Hat,Operating_system,Directed
Red_Hat,Business,Directed
Red_Hat,Unix,Directed
Active_defense,Encryption,Directed
Active_defense,Ransomware,Directed
Active_defense,IP_address,Directed
Active_defense,NIST,Directed
Transport_Layer_Security,Cryptography,Directed
Secure_channel,Cryptography,Directed
Secure_channel,Key_(cryptography),Directed
Secure_channel,Quantum_cryptography,Directed
Polybius,Ancient_Greek_language,Directed
Service_quality,Business_administration,Directed
Option_(finance),Finance,Directed
Option_(finance),Asset,Directed
Option_(finance),Financial_instrument,Directed
Wireless_local_area_network,Wi-Fi,Directed
Wireless_local_area_network,Smartphone,Directed
Lock_and_key,Mechanics,Directed
Lock_and_key,Keycard_lock,Directed
Lock_and_key,Fingerprint,Directed
Lock_and_key,Radio-frequency_identification,Directed
Lock_and_key,Security_token,Directed
Lock_and_key,Password,Directed
Lock_and_key,Bit_(key),Directed
Lock_and_key,Keyhole,Directed
Lock_and_key,Brass,Directed
Lock_and_key,Nickel_silver,Directed
Lock_and_key,Steel,Directed
Lock_and_key,Lock_picking,Directed
Lock_and_key,Nineveh,Directed
Lock_and_key,Assyria,Directed
Lock_and_key,Egypt,Directed
Lock_and_key,Pin_tumbler_lock,Directed
Lock_and_key,Warded_lock,Directed
Lock_and_key,Theodorus_of_Samos,Directed
Lock_and_key,Beguinage,Directed
Lock_and_key,"Lier,_Belgium",Directed
Pseudo-random,Algorithm,Directed
Key_(cryptography),Cryptography,Directed
Key_(cryptography),Algorithm,Directed
Key_(cryptography),Encryption,Directed
Key_(cryptography),Plaintext,Directed
Key_(cryptography),Ciphertext,Directed
Key_(cryptography),Salt_(cryptography),Directed
Chief_executive_officers,Company,Directed
Chief_executive_officers,Australia,Directed
Chief_executive_officers,Business_administration,Directed
Ludwig_von_Bertalanffy,Systems_theory,Directed
Ludwig_von_Bertalanffy,Cybernetics,Directed
Ludwig_von_Bertalanffy,Business_administration,Directed
Scalability,Collective_intelligence,Directed
Scalability,Collective_action,Directed
Scalability,Self-organized_criticality,Directed
Scalability,Herd_mentality,Directed
Scalability,Phase_transition,Directed
Scalability,Agent-based_model,Directed
Scalability,Synchronization,Directed
Scalability,Ant_colony_optimization_algorithms,Directed
Scalability,Particle_swarm_optimization,Directed
Scalability,Swarm_behaviour,Directed
Scalability,Social_network_analysis,Directed
Scalability,Small-world_network,Directed
Scalability,Centrality,Directed
Scalability,Network_motif,Directed
Scalability,Graph_theory,Directed
Scalability,Systems_biology,Directed
Scalability,Dynamic_network_analysis,Directed
Scalability,Evolutionary_computation,Directed
Scalability,Genetic_algorithm,Directed
Cryptography_law,Cryptography,Directed
Cryptography_law,France,Directed
Cryptography_law,Tunisia,Directed
Office_building,Business_administration,Directed
Office_building,Bank,Directed
Overdetermination,Louis_Althusser,Directed
Hardware_bug,Software_bug,Directed
Hardware_bug,Software,Directed
Public_utility,Public_service,Directed
Public_utility,Communications_system,Directed
Public_utility,Economies_of_scale,Directed
Public_utility,Company,Directed
Fourth_Industrial_Revolution,Klaus_Schwab,Directed
Fourth_Industrial_Revolution,World_Economic_Forum,Directed
Fourth_Industrial_Revolution,Capitalism,Directed
Fourth_Industrial_Revolution,Cyber-physical_system,Directed
Fourth_Industrial_Revolution,5G,Directed
Cyber-physical_system,Cybernetics,Directed
Competition_(economics),Capitalism,Directed
Cyberwarfare,Cyberattack,Directed
Cyberwarfare,Hacktivist,Directed
Electric_motor,Machine,Directed
Cybersecurity_and_Infrastructure_Security_Agency,5G,Directed
Cybersecurity_and_Infrastructure_Security_Agency,Election_security,Directed
Jefferson_disk,Cipher,Directed
Jefferson_disk,Thomas_Jefferson,Directed
Jefferson_disk,Key_(cryptography),Directed
Dynamic_network_analysis,Social_network_analysis,Directed
Dynamic_network_analysis,Time,Directed
Dynamic_network_analysis,Graph_theory,Directed
Alice_and_Bob#Mallory,Cryptography,Directed
Alice_and_Bob#Mallory,Quantum_cryptography,Directed
Ant_colony_optimization_algorithms,Algorithm,Directed
Ant_colony_optimization_algorithms,Ant_colony,Directed
Quantum_cryptography,Encryption,Directed
Quantum_cryptography,No-cloning_theorem,Directed
Utilization_voltage,Volt,Directed
Lone_wolf_(terrorism),Terrorist,Directed
Lone_wolf_(terrorism),United_Nations,Directed
Smart_doorbell,Smart_lock,Directed
Keycard_lock,Lock_(security_device),Directed
Keycard_lock,Smart_card,Directed
Keycard_lock,Radio-frequency_identification,Directed
Keycard_lock,Near-field_communication,Directed
Keycard_lock,Lock_and_key,Directed
Election_security,Election,Directed
Election_security,Cyberattack,Directed
Election_security,Voting_machines,Directed
Election_security,Voter_registration,Directed
Election_security,Jurisdiction,Directed
Election_security,Nation_state,Directed
Election_security,Lone_wolf_(terrorism),Directed
Election_security,DEF_CON,Directed
Election_security,Rick_Astley,Directed
Election_security,Never_Gonna_Give_You_Up,Directed
Election_security,Harri_Hursti,Directed
Election_security,Georgia_(U.S._state),Directed
Election_security,Ukraine,Directed
Election_security,Bulgaria,Directed
Election_security,Estonia,Directed
Election_security,Germany,Directed
Election_security,France,Directed
Election_security,Austria,Directed
Election_security,U.S._Department_of_Homeland_Security,Directed
Election_security,Jeh_Johnson,Directed
Wireless_network_standards,Wireless,Directed
Wireless_network_standards,Personal_area_network,Directed
Wireless_network_standards,ANT_(network),Directed
Wireless_network_standards,Ultra-wideband,Directed
Wireless_network_standards,Bluetooth,Directed
Wireless_network_standards,Zigbee,Directed
Wireless_network_standards,Wireless_USB,Directed
Wireless_network_standards,Wireless_Sensor_Networks,Directed
Wireless_network_standards,6LoWPAN,Directed
Wireless_network_standards,Wi-Fi,Directed
Wireless_network_standards,Cellular_networks,Directed
Wireless_network_standards,Wireless_local_area_network,Directed
Wireless_network_standards,DECT,Directed
Wireless_network_standards,HIPERLAN,Directed
Wireless_network_standards,Wide_area_network,Directed
Wireless_network_standards,Base_station,Directed
Wireless_network_standards,2G,Directed
Wireless_network_standards,3G,Directed
Wireless_network_standards,4G,Directed
Wireless_network_standards,GSM,Directed
Wide_area_network,Wi-Fi,Directed
Asset,Resource,Directed
Asset,Business,Directed
Bit_(key),Pin_tumbler_lock,Directed
Bit_(key),Warded_lock,Directed
Robert_Morris_(cryptographer),Unix,Directed
Robert_Morris_(cryptographer),Crypt_(Unix),Directed
Electric_power_distribution,Power_delivery,Directed
Electric_power_distribution,Electric_power_transmission,Directed
Electric_power_distribution,Electrical_substation,Directed
Electric_power_distribution,Volt,Directed
Electric_power_distribution,Utilization_voltage,Directed
Electric_power_distribution,Service_drop,Directed
Electric_power_distribution,Subtransmission,Directed
Electric_power_distribution,Common_utility_duct,Directed
Electric_power_distribution,Utility_pole,Directed
Electric_power_distribution,Power_stations,Directed
Electric_power_distribution,Arc_lamp,Directed
Electric_power_distribution,Incandescent_lamp,Directed
Electric_power_distribution,Gas_lighting,Directed
Electric_power_distribution,Pearl_Street_Station,Directed
Electric_power_distribution,Economies_of_scale,Directed
Electric_power_distribution,War_of_currents,Directed
Electric_power_distribution,Thomas_Edison,Directed
Electric_power_distribution,George_Westinghouse,Directed
Electric_power_distribution,Electric_motor,Directed
Electric_power_distribution,Electric_power_industry,Directed
Voter_registration,Jurisdiction,Directed
Voter_registration,Australia,Directed
Swap_(finance),Finance,Directed
Swap_(finance),Futures_contract,Directed
Swap_(finance),Option_(finance),Directed
Swap_(finance),World_Bank,Directed
Loan,Finance,Directed
Loan,Money,Directed
Loan,Asset,Directed
Loan,Bank,Directed
Loan,Bond_(finance),Directed
World_Bank,Germany,Directed
World_Bank,France,Directed
Bond_(finance),Finance,Directed
Bond_(finance),Loan,Directed
Frequency_analysis,Ciphertext,Directed
Frequency_analysis,Plaintext,Directed
Frequency_analysis,Alice_and_Bob,Directed
Frequency_analysis,Al-Kindi,Directed
Commercial_software,Software,Directed
Election,Business,Directed
Network_eavesdropping,Man-in-the-middle_attack,Directed
Accident,Risk_management,Directed
Security_vulnerability,Software_bug,Directed
Security_vulnerability,Confidentiality,Directed
Security_vulnerability,Availability,Directed
Security_vulnerability,Common_Vulnerabilities_and_Exposures,Directed
Security_vulnerability,Code_injection,Directed
Security_vulnerability,Malware,Directed
Security_vulnerability,Physical_security,Directed
HTTP_Public_Key_Pinning,Certificate_authority,Directed
HTTP_Public_Key_Pinning,Public-key_cryptography,Directed
HTTP_Public_Key_Pinning,Cryptographic_hash_function,Directed
Open_system_(systems_theory),Isolated_system,Directed
Open_system_(systems_theory),Organismic_theory,Directed
Open_system_(systems_theory),Thermodynamics,Directed
Open_system_(systems_theory),Theory_of_Evolution,Directed
Open_system_(systems_theory),Systems_theory,Directed
Open_system_(systems_theory),Energy,Directed
Open_system_(systems_theory),Mass,Directed
Open_system_(systems_theory),Closed_system,Directed
